YEAR JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN
1893  10  12  12  14  11   9   8   4   3   7   8  10 108
1894   6   5  10  12  10   8   2   7  11   9   4   5  89
1895  10   5   6   6  11   5   0   6   8   5   8   9  79
1896   2   5   4  11  12   7  11   8  12   4   6   6  88
1897   8   8   8  13   7  16   6   7   5   3   4   5  90
1898   7   4   8  12  17   9   5  12  10   5   5   4  98
1899   3   3   3   8  16   7   8   6   5   2   5   2  68
1900   3   4   5   7  11   8  11   9  12   7   1   3  81
1901   3   4  10   8   9   9   6   5   7   6   4   6  77
1902   4   4   6   4  17  18  14  11   8   7   5   7 105
1903   4   3   5  11  14   8   9   9  13   7   3   5  91
1904   5   1   6   8   6   7  12   7   8   5   1   5  71
1905   8   9  11   7  17  13  13  11   7   8   4   3 111
1906   5   3  12   8  12   8   8   9   3   2   9   4  83
1907  12   2   6   8   9  10  14  12   6   4   4   4  91
1908   1   7   6   9  15  11   9   6   3   6   6   3  82
1909   4   8   6  10   8   8   6   4   4   5  10   9  82
1910   6   3   0   9   8   3   3   7   9   2   3   2  55
1911   5   6   5  11  12   8   9   8   8  11   8   5  96
1912   4   7   7   6  10   5   7   5  11   5   2   1  70
1913   5   3  10   6  11   6   4   5   8  10   2   2  72
1914   3   5   7   5   7   8   6   4  10   6   2   8  71
1915   7   9   3   7  14   9  12   3  10   2   4   6  86
1916   8   4   6   7  11  12   7   5   7   8   5   6  86
1917   7   4   8   7  11  11   7   4   5   8   1   6  79
1918   7   5   5   7   9  11   6   8   4   6   3   6  77
1919   2   7   4  11   7  11   6   6   7   7   5   3  76
1920   3   3   7   9   4   6   7   7   4   3   8   6  67
1921   5   3   6   9   7   5   5   7  10   6   2   5  70
1922   2   5   6   9  10   3  11   7   4   4  10   4  75
1923   8   4   8  10  11  11   6  16  13   7   3   5 102
1924   6   5   9   9   9  13  14  12   8   5   5   7 102
1925   1   4   4   8   9  12   6   7  14  13   4   4  86
1926   4   4   5   7   5   9  10   9  15   7   8   2  85
1927   4   4   8  15  14   6   8   8  11   7   5   4  94
1928   3   7   6  10   6  12  11   9   7  13   8   5  97
1929   9   5   7  11   9   6   9   5   8   9   6   4  88
1930   9   4   4  11  11  10   5   3   3   7   6   6  79
1931   1   1   6   9   9   6   6   6  10  12  11   7  84
1932   9   3   6  10   6   9   4  11   5   7   3   5  78
1933   2   1   7   6  16   9   7   6   7   5   3   7  76
1934   5   2   8   4   4  11  11   9  13   4  12   6  89
1935   8   8  11   7  17  14   8   5  10   5   8  10 111
1936  12   7   7   9   7   9   3   9  13   9   5   5  95
1937   7   8   9  11  11   6   5   6   7   7   5   9  91
1938  10   9   9   8  16  11  11   7  10   5   6   7 109
1939   7   5   9  10   8  11   8   9   3   7   2   3  82
1940   5   8   9  11  10   6   5  11   4   5  10   6  90
1941  11   6   6   9   8  13   5   8  14  14   5   6 105
1942   3   6  11   3   9  16  13  10  11   5   8   8 103
1943  11  11   8   8  11  12   9  13   4   6   3   1  97
1944   6   8  15  15  15  12  11   9   7   4   9   7 118
1945   4   6  11  10  16  13   9  11  10   4  11   7 112
1946   7   6  13   4  12  12   9   8   9   5   8   6  99
1947   8   6   7  10  17  13   6   4   6   8  12   6 103
1948   5   6  10   6  11  11   8   6   6   3   9   9  90
1949  13   5   6   5  13   9   7   4   6   9   6   4  87
1950   8   8   8  12  11  12  10   6   6   3   4   8  96
1951   5   9  11  12  12  14  12  10   6  10   6   8 115
1952   6   8  13   7  14   7   7   9   3   0   5   7  86
1953   5   9  12  11   9  10  12   6   7   2   6   8  97
1954   3   6   9  10   9  15   8  17   9  12   4   8 110
1955  11   8   5  11   9   9   6   8  11  10   4   5  97
1956   7   6   9   8  14   4  13  10   7   4  10   9 101
1957  10   3   6  12  14  11   9   7   7   4  10   5  98
1958   6   3   3  11  10  10  12   7  10   4   7   4  87
1959   6   5  13   8  15   7   8  10   9  15   6   9 111
1960   6   8   9  10  15  15   7   6  12   7   7   5 107
1961   4   6   9  12   7   8  14   6  10   7   7   8  98
1962   9  13   9  12  12   7  11   4   7  10   3   3 100
1963  10   7   9  10  10   3  12  10   7   6   5   6  95
1964   4   3  10  11   7  11   6   7  11   1   7   9  87
1965   9   7   9  12  14   9   9  17  17   4   5   7 119
1966   5   4  10  10   9  10   6   2   3   5   6   7  77
1967   5   6   5  13  11  12   6   7   6  11   5  12  99
1968   6   4   4  11  13   9   8   9  14   7   8  11 104
1969   9   3   6  12  13  15  12   4   7  11   6   9 107
1970   7   6   8  11  14  10  10   5  13   9   8   6 107
1971   4   9   6   8  11  11  12   4   7   7  10   9  98
1972   5   8   8   9  13   8  14  10  10  12  10  10 117
1973   4   4  12  11  17  12  10   5  16   5  11  11 118
1974  10   6  10   9  17   9   6  12   6  10   9   8 112
1975   9   6  10  12  12  13   3  12   5   2  14   1  99
1976   4   5   9  10   9   8   6   5   4   7   1   4  72
1977   9   3  12   9   7   6   9  15  11   8  10  10 109
1978   5   9   6  12   9  12  13   8   5   7  10  11 107
1979  11   6  11  13   7   9   8  12   2   7   9   4  99
1980  12   8   3  12  12   9   7  14   9   5   4   7 102
1981   4   8   3  13  10   9  10   9   6  10  12   6 100
1982  14   4  11   9  17  12  12   7   9   8  10   9 122
1983   6   6   9  10  18   9   6   6  11  12  16   8 117
1984   6   7  10  10  11  16  11   7   9  14   6  14 121
1985   5   7   9   8  11  11   9   6   9  10  15   6 106
1986   5   8   6  10  15  11   9  10  17  10   7   5 113
1987   5   1  11   8  11   9   8  11   9   7  11  11 102
1988   6   6   3   7   3   6   5   9   7   8  12   5  77
1989   7   5   6  12   8   7   7  11   8   7   3   5  86
1990   6   7  13  15  14  17  17  10   8  10  10   9 136
1991   6   3  13   9  14   8   5   9  13  14  16   7 117
1992   9   6  14  19   5   7  17   9  12   6  14  16 134
1993  12   9  13  12  17  18  22  16  15   5   9   7 155
1994  14  10   4   8  11  12  14  10  10   3  11   8 115
1995   8   3  10  17  13  10   7   8  13  13   8   6 116
1996  12   4   6   8  21  15   6   8   8   9  15  14 126
1997   9  10   6   8  14  12   6  10  12  10  10  10 117
1998  12   9  13  13  13  17   6  15   6  12   5   4 125
1999  15   7   6  15  14  16  14  11   3   4   2  12 119
2000  10   9   7  10  15  17  12   8  12   8  10  14 132
2001   9   7   9  15  18  12   6   7  13  11   8   7 122
2002   3   7  10  14  11  10  12   8   6  12   5   1  99
2003   5   5   9   9  12  11  10   3   7   6  12   7  96
2004   7   8  15   6  16  10  11  13   3  13  12   9 123
2005  13   9   9  10  13   8   5   7   6   5   8  11 104
2006   7   3  10  12  13  12  15  13   9  11   5   6 116
2007   7   6  11   9   9  11   8  16   7  11   4  15 114
2008  12  13   9  15  14  17  11   8  10  11   9  14 143
2009   9   7  11  12  10  13  10  13   4  18   8  13 128
2010   7   9   9  12   9  17  11  13  12   4   8  10 121
2011   8   8  10   9  13  13   8   7  10   5   5   9 105
2012   9   8  12  11   7   7   5   7   6  11   5   7  95
2013   5   8  10  13  14  12   4   5   7  10  10  10 108
