price,visitors,stars
12.58,240,1
17.85,181,1
29.87,347,1
30.77,183,1
13.77,10,1
15.09,117,1
18.14,126,1
18.73,163,1
32.44,206,1
22.57,227,1
17.64,105,1
26.51,183,2
15.61,139,2
20.86,220,2
20.08,14,2
21.00,176,2
24.11,196,2
22.73,213,2
22.87,100,2
24.29,186,2
29.08,254,2
19.47,194,2
17.26,172,2
5.75,185,2
18.12,252,2
22.77,212,2
20.09,239,2
16.58,86,2
13.08,138,2
10.05,-67,2
12.40,203,2
20.14,261,2
24.39,120,2
15.68,287,2
23.31,203,2
9.98,304,2
18.05,143,3
25.11,154,3
13.19,213,3
23.95,147,3
13.57,227,3
16.05,302,3
18.74,456,3
24.49,131,3
20.94,233,3
16.57,259,3
23.30,159,3
26.13,450,3
10.15,12,3
20.73,296,3
25.47,253,3
25.67,39,3
16.64,99,3
13.78,298,3
23.77,234,3
19.68,381,3
4.60,24,3
18.82,355,3
16.65,323,3
10.52,287,3
19.34,115,3
12.21,274,3
17.30,188,3
22.31,85,3
24.00,392,3
20.68,191,3
29.75,186,3
18.80,313,3
19.38,55,3
25.79,180,3
19.29,162,3
31.77,69,3
24.58,333,3
20.19,343,3
20.09,338,3
18.04,307,3
11.61,173,3
20.36,249,3
17.63,183,3
22.20,195,3
25.33,339,3
16.18,251,3
9.62,255,3
29.75,19,3
5.50,549,3
23.11,239,4
8.43,220,4
25.88,221,4
23.95,213,4
13.51,783,4
22.99,233,4
22.68,128,4
18.35,243,4
24.73,66,4
12.57,400,4
25.82,165,4
28.21,465,4
22.74,316,4
20.69,93,4
27.18,179,4
